Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Rucaparib,-,Placebo,"Maintenance treatment of patients with platinum sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy",Gynaecological Malignancies,"Ovarian, fallopian tubes and peritoneum cancer",Germline or somatic - BRCA mutation,Relapsed high grade,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)32440-6/fulltext,https://www.thelancet.com/pdfs/journals/lanonc/PIIS1470-2045(20)30061-9.pdf,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,"Maintenance treatment of patients with platinum sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy",ARIEL3,            Relapsed high grade    ,Germline or somatic - BRCA mutation,"Ovarian, fallopian tubes and peritoneum cancer",Gynaecological Malignancies,NA,NA,0.23 (0.16-0.34),3,NA,NA,NA,5.4 months,11.2 months,3,NA,NA,NA,NA,NA,NA,PFS,NA,NA,NA,NA,17.07.2020,NA,17.07.2020,NA,NA,NA,NA,NA,NA,NA
Rucaparib,-,Placebo,"Maintenance treatment of patients with platinum sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy",Gynaecological Malignancies,"Ovarian, fallopian tubes and peritoneum cancer",ITT population (ALL),Relapsed high grade,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)32440-6/fulltext,https://www.thelancet.com/pdfs/journals/lanonc/PIIS1470-2045(20)30061-9.pdf,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,"Maintenance treatment of patients with platinum sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy",ARIEL3,            Relapsed high grade    ,ITT population (ALL),"Ovarian, fallopian tubes and peritoneum cancer",Gynaecological Malignancies,NA,NA,0.36 (0.30-0.45),3,NA,NA,NA,5.4 months,5.4 months,3,NA,NA,NA,NA,NA,NA,PFS,NA,NA,NA,NA,17.07.2020,NA,17.07.2020,NA,NA,NA,NA,NA,NA,NA
Atezolizumab,Carboplatin and etoposide,Placebo plus carboplatin and etoposide,First-line treatment of extensive-stage SCLC,Thoracic Malignancies,Small-cell Lung Cancer,-,Extensive-stage,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1809064,NA,NA,Placebo plus carboplatin and etoposide,NA,NA,NA,NA,Form 2a,PFS/OS,First-line treatment of extensive-stage SCLC,IMpower133,            Extensive-stage    ,NA,Small-cell Lung Cancer,Thoracic Malignancies,Carboplatin and etoposide ,NA,0.77 (0.62-0.96),3,10.3 months,2.0 months,0.70 (0.54-0.91),4.3 months,0.9 months,3,NA,NA,NA,NA,NA,NA,OS,NA,NA,NA,NA,17.07.2020,NA,17.07.2020,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Cisplatin or carboplatin/5-FU/cetuximab,Untreated locally incurable recurrent or metastatic SCCHN with CPS PD-L1 expression ≥1,Head and neck cancer,Squamous cell,CPS PD-L1 expression ≥1,Recurrent or metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(19)32591-7/fulltext,NA,NA,Cisplatin or carboplatin/5-FU/cetuximab,NA,NA,NA,NA,Form 2a,PFS/OS,Untreated locally incurable recurrent or metastatic SCCHN with CPS PD-L1 expression ≥1,KEYNOTE-48,            Recurrent or metastatic    ,CPS PD-L1 expression ≥1,Squamous cell ,Head and neck cancer,NA,NA,NA,4,10.3 months,2.0 months,0.78 (0.64-0.96),NA,NA,3,NA,Pending,NA,1+,Reduced toxicity,NA,OS,NA,NA,NA,NA,17.07.2020,NA,17.07.2020,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Cisplatin or carboplatin/5-FU/cetuximab,Untreated locally incurable recurrent or metastatic squamous cell carcinoma with CPS PD-L1 expression ≥20,Head and neck cancer,Squamous cell,CPS PD-L1 expression ≥20,Recurrent or metastatic,5,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(19)32591-7/fulltext,NA,NA,Cisplatin or carboplatin/5-FU/cetuximab,NA,NA,NA,NA,Form 2a ,PFS/OS,Untreated locally incurable recurrent or metastatic squamous cell carcinoma with CPS PD-L1 expression ≥20,KEYNOTE-48,            Recurrent or metastatic    ,CPS PD-L1 expression ≥20,Squamous cell ,Head and neck cancer,NA,NA,NA,5,10.7 months,4.2 months,0.61 (0.45-0.83),NA,NA,4,NA,Pending,NA,1+,Reduced toxicity,NA,OS,NA,The licensed indication is for CPS PD-L1 expression ≥1. This score relates to a planned subgroup illustrating enhanced benefit among a subset of the approved cohort with CPS PD- L1 expression ≥20.,NA,NA,17.07.2020,NA,17.07.2020,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,Cisplatin or carboplatin/5-FU,Cisplatin or carboplatin/5-FU/cetuximab,Untreated locally incurable recurrent or metastatic squamous cell carcinoma with CPS PD-L1 expression ≥1,Head and neck cancer,Squamous cell,CPS PD-L1 expression ≥1,Recurrent or metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(19)32591-7/fulltext,NA,NA,Cisplatin or carboplatin/5-FU/cetuximab,NA,NA,NA,NA,Form 2a,PFS/OS,Untreated locally incurable recurrent or metastatic squamous cell carcinoma with CPS PD-L1 expression ≥1,KEYNOTE-48,            Recurrent or metastatic    ,CPS PD-L1 expression ≥1,Squamous cell ,Head and neck cancer,Cisplatin or carboplatin/5-FU,NA,NA,4,10.4 months,3.2 months,0.65 (0.53-0.80),NA,NA,4,NA,Pending,NA,NA,NA,NA,OS,NA,NA,NA,NA,20.07.2020,NA,20.07.2020,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,"Standard of care (methotrexate, docetaxel or cetuximab)","Treatment of patients with recurrent or metastatic SCCHN after previous platinum-containing chemotherapy with PD-L1 CPS expression ≥1*,**",Head and neck cancer,Squamous cell,CPS PD-L1 expression ≥1,Recurrent or metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31999-8/fulltext,https://academic.oup.com/jnci/article-abstract/doi/10.1093/jnci/djaa063/5837115?redirectedFrom=fulltext,NA,"Standard of care (methotrexate, docetaxel or cetuximab)",NA,NA,NA,NA,Form 2a,OS,"Treatment of patients with recurrent or metastatic SCCHN after previous platinum-containing chemotherapy with PD-L1 CPS expression ≥1*,**",KEYNOTE-40,            Recurrent or metastatic    ,CPS PD-L1 expression ≥1,Squamous cell ,Head and neck cancer,NA,NA,NA,4,7.1 months,1.6 months,0.74 (0.58-0.93),NA,NA,3,NA,QoL evaluated as exploratory end point (as distinct from primary or secondary end point) is not eligible for ESMO-MCBS grading.,NA,1+,Reduced toxicity,NA,OS,NA,"*EMA approval is restricted to PD-L1 ≥50% TPS. PD-L1 ≥1 CPS was a secondary end point eligible for ESMO-MCBS scoring.                                                                                                                                                                         
**EMA indication is restricted to recurrent or metastatic head and neck cancer with PD-L1 ≥50% TPS. This approval is based on an exploratory analysis with no adjustment for multiplicity in which the median OS control arm was 6.6 months, with a gain of 5.0 months (HR 0.53 ; (95% CI 0.35–0.81). Although exploratory analyses can be the basis for hypothesis generation or conjecture or even licensing approvals by regulatory authorities, since they are exploratory (as distinct from primary or secondary end points), they are not eligible for grading using ESMO-MCBS.   ",NA,NA,20.07.2020,NA,20.07.2020,NA,NA,NA,NA,NA,NA,NA
Sunitinib,-,Placebo,Advanced GIST 2nd line after imatinib,Sarcoma,Soft tissue,GIST,Advanced,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(06)69446-4/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2b (Scoring of TTP on the same basis as PFS),TTP (Crossover allowed),Advanced GIST 2nd line after imatinib,NA,            Advanced    ,GIST,Soft tissue,Sarcoma,NA,NA,0.33 (0.23-0.47),3,NA,NA,NA,6.4 weeks,20.9 weeks,3,NA,NA,NA,NA,NA,NA,TTP ,NA,NA,NA,NA,21.07.2020,NA,21.07.2020,NA,NA,NA,NA,NA,NA,NA
Regorafenib,-,Placebo,"3rd line after imatinib and sunitinib - patients with histologically confirmed, metastatic or unresectable GIST, with failure of at least previous imatinib and sunitinib",Sarcoma,Soft tissue,GIST,Unresectable or metastatic,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140673612618571/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS (Crossover allowed),"3rd line after imatinib and sunitinib - patients with histologically confirmed, metastatic or unresectable GIST, with failure of at least previous imatinib and sunitinib ",GRID,            Unresectable or metastatic    ,GIST,Soft tissue,Sarcoma,NA,NA,0.27 (0.19-0.39),3,NA,NA,NA,0.9 month,3.9 months,3,NA,NA,NA,NA,NA,NA,PFS,NA,NA,NA,NA,21.07.2020,NA,21.07.2020,NA,NA,NA,NA,NA,NA,NA
Pazopanib,-,Placebo,Previously treated non-GIST metastatic soft tissue sarcoma,Sarcoma,Soft tissue,-,Metastatic,3,NA,NA,https://www.thelancet.com/article/S0140-6736(12)60651-5/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,Previously treated non-GIST metastatic soft tissue sarcoma,PALETTE,            Metastatic    ,NA,Soft tissue,Sarcoma,NA,NA,0.31 (0.24-0.40),3,NA,NA,NA,1.6 months,3.0 months,3,NA,NA,NA,NA,NA,NA,PFS,NA,NA,NA,NA,21.07.2020,NA,21.07.2020,NA,NA,NA,NA,NA,NA,NA
Eribulin,-,Dacarbazine,Unresectable liposarcoma who have received prior anthracycline containing therapy (unless unsuitable) for advanced or metastatic disease,Sarcoma,Soft tissue,Liposarcoma or leiomyosarcoma,Advanced or metastatic,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01283-0/fulltext,NA,NA,Dacarbazine,NA,NA,NA,NA,Form 2a,OS,Unresectable liposarcoma who have received prior anthracycline containing therapy (unless unsuitable) for advanced or metastatic disease,NA,            Advanced or metastatic    ,Liposarcoma or leiomyosarcoma,Soft tissue,Sarcoma,NA,NA,NA,3,11.5 months,2.0 months,0.77 (0.62-0.95),NA,NA,3,NA,NA,NA,NA,NA,NA,OS,NA,NA,NA,NA,21.07.2020,NA,21.07.2020,NA,NA,NA,NA,NA,NA,NA
Ridaforolimus,-,Placebo,Metastatic soft tissue or bone sarcomas after response or stable disease with 1st line treatment,Sarcoma,Soft tissue or bone,-,Metastatic,2,NA,NA,https://ascopubs.org/doi/full/10.1200/JCO.2012.45.5766?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,Metastatic soft tissue or bone sarcomas after response or stable disease with 1st line treatment,NA,            Metastatic    ,NA,Soft tissue or bone,Sarcoma,NA,NA,0.72 (0.61-0.85),2,NA,NA,NA,14.6 weeks,3.1 weeks,2,NA,NA,NA,NA,NA,NA,PFS,NA,NA,NA,NA,21.07.2020,NA,21.07.2020,NA,NA,NA,NA,NA,NA,NA
Imatinib 1-year,-,Placebo,Adjuvant for GIST patients had complete gross resection of a primary gastrointestinal stromal tumour at least 3 cm in size and positive for the KIT protein by immunohistochemistry,Sarcoma,Soft tissue,GIST KIT+,Adjuvant,A,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140673609605006/fulltext,NA,NA,Placebo,NA,NA,NA,A,Form 1,1-year RFS,Adjuvant for GIST patients had complete gross resection of a primary gastrointestinal stromal tumour at least 3 cm in size and positive for the KIT protein by immunohistochemistry,ACOSOG Z9001,            Adjuvant    ,GIST KIT+,Soft tissue,Sarcoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RFS,NA,NA,NA,NA,21.07.2020,NA,21.07.2020,NA,NA,NA,83%,15%,0.35 (0.22-0.53),NA
Imatinib 3-years,-,Imatinib 1-year,Adjuvant for high-risk GIST patients with KIT-positive GIST removed at surgery,Sarcoma,Soft tissue,GIST KIT+,Adjuvant,A,NA,NA,https://jamanetwork.com/journals/jama/fullarticle/1105116,NA,NA,Imatinib 1-year,NA,NA,NA,A,Form 1,5-years RFS,Adjuvant for high-risk GIST patients with KIT-positive GIST removed at surgery,SSG XVIII,            Adjuvant    ,GIST KIT+,Soft tissue,Sarcoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RFS,NA,NA,NA,NA,21.07.2020,NA,21.07.2020,NA,NA,NA,48%,18%,0.46 (0.32-0.65),NA
Nivolumab,Ipilimumab**,Placebo,Adult patients with resected stage IV melanoma with no-evidence of disease,Skin Cancers,Melanoma,-,Adjuvant,A,NA,NA,https://www.thelancet.com/pdfs/journals/lancet/PIIS0140-6736(20)30417-7.pdf,NA,NA,Placebo,NA,NA,NA,A,Form 1,RFS (Phase II),Adult patients with resected stage IV melanoma with no-evidence of disease,IMMUNED,            Adjuvant    ,NA,Melanoma,Skin Cancers,Ipilimumab**,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RFS,NA,"*Calculated estimate of gain based on PE HR 0.23                                                                                                                                          **Licensed approval for adjuvant stage IV melanoma with no evidence of disease is with nivolumab as a monotherapy, ipilimumab combined with nivolumab was a planned arm of the same trial eligible for ESMO-MCBS scoring",NA,NA,22.07.2020,NA,22.07.2020,NA,NA,NA,6.4 months,21.4 months*,0.23 (0.12-0.45),NA
Nivolumab,-,Placebo,Adult patients with resected stage IV melanoma with no-evidence of disease,Skin Cancers,Melanoma,-,Adjuvant,A,NA,NA,https://www.thelancet.com/pdfs/journals/lancet/PIIS0140-6736(20)30417-7.pdf,NA,NA,Placebo,NA,NA,NA,A,Form 1,RFS (Phase II),Adult patients with resected stage IV melanoma with no-evidence of disease,IMMUNED,            Adjuvant    ,NA,Melanoma,Skin Cancers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RFS,NA,NA,NA,NA,22.07.2020,NA,22.07.2020,NA,NA,NA,6.4 months,6.0 months,0.56 (0.33-0.94),NA
Olaparib,-,Placebo,Monotherapy for the maintenance treatment of adult patients with germline BRCA1/2-mutations who have metastatic adenocarcinoma of the pancreas and have not progressed after a minimum of 16 weeks of platinum treatment within a first-line chemotherapy regimen,Gastrointestinal Cancers,Pancreatic cancer,BRCA1/2 mutations,Metastatic,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1903387?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,Monotherapy for the maintenance treatment of adult patients with germline BRCA1/2-mutations who have metastatic adenocarcinoma of the pancreas and have not progressed after a minimum of 16 weeks of platinum treatment within a first-line chemotherapy regimen,POLO,            Metastatic    ,BRCA1/2 mutations,Pancreatic cancer,Gastrointestinal Cancers,NA,NA,0.53 (0.35-0.82),3,18.1 months,0.8 month,NS (immature),3.8 months,3.6 months,3,NA,No QoL benefit,NA,NA,NA,NA,PFS,NA,NA,NA,NA,23.07.2020,NA,23.07.2020,NA,NA,NA,NA,NA,NA,NA
Entrectinib,-,Single arm,Treatment of patients whose solid tumours have a neurotrophic tyrosine receptor kinase gene fusion,Refractory NTRK fusion–positive cancers,-,-,Locally advanced or metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30691-6/fulltext,NA,NA,Single arm,NA,NA,NA,NA,Form 3,"ORR,DOR",Treatment of patients whose solid tumours have a neurotrophic tyrosine receptor kinase gene fusion,NA,            Locally advanced or metastatic    ,NA,NA,Refractory NTRK fusion–positive cancers,NA,NA,NA,3,NA,NA,NA,11.2 months,NA,3,NA,NA,NA,NA,NA,NA,"ORR,DOR",NA,NA,NA,NA,NA,57%,23.07.2020,10.4 months,NA,NA,NA,NA,NA,NA
Entrectinib,-,Single arm,"Treatment of adult patients with ROS1-positive, advanced non-small cell lung cancer (NSCLC) not previously treated with ROS1 inhibitors",Thoracic Malignancies,Non-small-cell Lung Cancer,Refractory NTRK fusion–positive cancers,Advanced,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30690-4/fulltext,NA,NA,Single arm,NA,NA,NA,NA,Form 3,"ORR, DOR","Treatment of adult patients with ROS1-positive, advanced non-small cell lung cancer (NSCLC) not previously treated with ROS1 inhibitors",NA,            Advanced    ,Refractory NTRK fusion–positive cancers,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,3,NA,NA,NA,19.0 months,NA,3,NA,NA,NA,NA,NA,NA,"ORR, DOR",NA,NA,NA,NA,23.07.2020,77%,23.07.2020,24.6 months,NA,NA,NA,NA,NA,NA
Avapritinib,-,Single arm,Treatment of adult patients with unresectable or metastatic gastrointestinal stromal tumours harbouring the platelet-derived growth factor receptor alpha D842V mutation,Gastrointestinal Cancers,GIST,PDGFRA D842V-mutant,Unresectable or metastatic,3,NA,NA,https://www.thelancet.com/pdfs/journals/lanonc/PIIS1470-2045(20)30269-2.pdf,NA,NA,Single arm,NA,NA,NA,NA,Form 3,"ORR,DOR (Phase I)",Treatment of adult patients with unresectable or metastatic gastrointestinal stromal tumours harbouring the platelet-derived growth factor receptor alpha D842V mutation,NAVIGATOR,            Unresectable or metastatic    , PDGFRA D842V-mutant,GIST,Gastrointestinal Cancers,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"ORR,DOR ",NA,Pending EU approval,NA,NA,06.08.2020,88%,06.08.2020,70% 12 months+,NA,NA,NA,NA,NA,NA
Durvalumab,Etoposide and either carboplatin or cisplatin,Platinum-etoposide,First-line treatment of extensive-stage small cell lung cancer,Thoracic Malignancies,Lung Cancer,Small-cell Lung Cancer,Extensive-stage,3,NA,NA,https://www.thelancet.com/pdfs/journals/lancet/PIIS0140-6736(19)32222-6.pdf,NA,NA,Platinum-etoposide,NA,NA,NA,NA,Form 2a,OS,First-line treatment of extensive-stage small cell lung cancer,CASPIAN,            Extensive-stage    ,Small-cell Lung Cancer,Lung Cancer,Thoracic Malignancies,Etoposide and either carboplatin or cisplatin,NA,NA,3,10.3 months,2.7 months,0.73 (0.59-0.91),NA,NA,3,NA,NA,NA,NA,NA,NA,OS,NA,Pending EU approval,NA,NA,06.08.2020,NA,06.08.2020,NA,NA,NA,NA,NA,NA,NA
